deletion	1:1-3048000	3.048e+06	0	5.22876e-14	0	5.22876e-14	0	-1
duplication	1:3051001-3069000	18000	3.62989	0.0022985	0	0.0022985	0	0.00492896
deletion	1:4053001-4059000	6000	0.296159	4580.34	3.06728e-17	4580.34	3.06728e-17	0.0282738
deletion	1:4320001-4326000	6000	0.249307	8636.43	2.00451e-18	8636.43	2.00451e-18	0.180769
deletion	1:6111001-6117000	6000	0.078532	6857.45	0	6857.45	0	0.0468085
deletion	1:6138001-6144000	6000	0.179593	16456.2	1.01071e-18	16456.2	1.01071e-18	0.0643678
deletion	1:7407001-7419000	12000	0.0448344	0.484343	0	0.484343	0	0.920635
deletion	1:7431001-7452000	21000	0.0986719	0.00866803	5.96904e-103	0.00866803	5.96904e-103	0.283414
deletion	1:8238001-8244000	6000	0.00444085	101.539	0	101.539	0	0.00178891
deletion	1:8463001-8478000	15000	0.198237	163.355	4.53626e-11	163.355	4.53626e-11	0.128527
deletion	1:8502001-8508000	6000	0.214136	18907.7	2.1946e-15	18907.7	2.1946e-15	0.0205047
deletion	1:8775001-8802000	27000	0.436045	3.84232	1.75287e-10	3.84232	1.75287e-10	0.263158
deletion	1:9441001-9450000	9000	0.277962	7321.89	0.00276649	7321.89	0.00276649	0.0523385
deletion	1:10599001-10614000	15000	0.53865	241.221	0.0315562	241.221	0.0315562	0.231279
deletion	1:11040001-11055000	15000	0.546095	184.921	5.62384e-10	184.921	5.62384e-10	0.436858
deletion	1:11874001-11886000	12000	0.570093	382.561	0.00813184	382.561	0.00813184	0.287364
deletion	1:18750001-18756000	6000	0.444211	22716.4	0.00243649	22716.4	0.00243649	0.045122
deletion	1:21237001-21243000	6000	0.198197	18808.7	2.4403e-16	18808.7	2.4403e-16	0.0172872
deletion	1:23775001-23781000	6000	0.0518822	3579.78	0	3579.78	0	0.0521739
deletion	1:24876001-24882000	6000	0.402996	23302.7	9.45185e-05	23302.7	9.45185e-05	0.190537
deletion	1:26472001-26481000	9000	0.336036	3082.45	5.28342e-13	3082.45	5.28342e-13	0.774554
deletion	1:27612001-27621000	9000	0.104614	1277.27	7.85915e-33	1277.27	7.85915e-33	0.0129534
deletion	1:28152001-28158000	6000	0.172213	12012.3	8.84695e-22	12012.3	8.84695e-22	0.0425
deletion	1:28341001-28347000	6000	0.480126	7301.34	1.18071e-05	7301.34	1.18071e-05	0.0449141
deletion	1:32088001-32097000	9000	0.20015	5803.06	7.33566e-08	5803.06	7.33566e-08	0.046841
deletion	1:33108001-33117000	9000	0.220365	6803.47	4.35857e-05	6803.47	4.35857e-05	0.141844
deletion	1:40179001-40191000	12000	0.478856	238.74	1.23759e-09	238.74	1.23759e-09	0.163025
deletion	1:46014001-46023000	9000	0.596843	1132.12	0.00377774	1132.12	0.00377774	0.448304
